"filename", "language", "HTML", "JavaScript", "CSS", "PHP", "XML", "SCSS", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\brand\bootstrap-outline.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\brand\bootstrap-punchout.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\brand\bootstrap-solid.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\css\docs.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\img\favicons\browserconfig.xml", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\img\favicons\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 22, 0, 1, 23
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\img\favicons\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\js\docs.min.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 18, 0, 22
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\js\src\application.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 23, 20, 113
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\js\src\ie-emulation-modes-warning.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 8, 6, 48
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\js\src\search.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 8, 12, 60
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\js\vendor\anchor.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 8, 0, 9
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\js\vendor\bs-custom-file-input.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 1, 8
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\js\vendor\clipboard.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\js\vendor\jquery.slim.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_ads.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 4, 7, 40
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_algolia.scss", "SCSS", 0, 0, 0, 0, 0, 124, 0, 8, 24, 156
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_anchor.scss", "SCSS", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_brand.scss", "SCSS", 0, 0, 0, 0, 0, 64, 0, 10, 15, 89
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_browser-bugs.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 3, 2, 13
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 28, 0, 3, 7, 38
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_callouts.scss", "SCSS", 0, 0, 0, 0, 0, 28, 0, 4, 9, 41
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_clipboard-js.scss", "SCSS", 0, 0, 0, 0, 0, 28, 0, 3, 6, 37
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_colors.scss", "SCSS", 0, 0, 0, 0, 0, 12, 0, 3, 3, 18
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_component-examples.scss", "SCSS", 0, 0, 0, 0, 0, 299, 0, 24, 61, 384
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_content.scss", "SCSS", 0, 0, 0, 0, 0, 91, 0, 10, 24, 125
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_footer.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 3, 9, 41
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_masthead.scss", "SCSS", 0, 0, 0, 0, 0, 40, 0, 2, 11, 53
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_nav.scss", "SCSS", 0, 0, 0, 0, 0, 57, 0, 3, 12, 72
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_placeholder-img.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 4, 4, 16
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 124, 0, 10, 29, 163
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_skippy.scss", "SCSS", 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_syntax.scss", "SCSS", 0, 0, 0, 0, 0, 73, 0, 1, 5, 79
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 5, 3, 18
"c:\xampp\htdocs\covid-IT\HomepageLogged\assets\scss\docs.scss", "SCSS", 0, 0, 0, 0, 0, 22, 0, 26, 5, 53
"c:\xampp\htdocs\covid-IT\HomepageLogged\colori.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\xampp\htdocs\covid-IT\HomepageLogged\css\bootstrap-grid.css", "CSS", 0, 0, 3681, 0, 0, 0, 0, 7, 211, 3899
"c:\xampp\htdocs\covid-IT\HomepageLogged\css\bootstrap-grid.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\covid-IT\HomepageLogged\css\bootstrap-reboot.css", "CSS", 0, 0, 264, 0, 0, 0, 0, 8, 55, 327
"c:\xampp\htdocs\covid-IT\HomepageLogged\css\bootstrap-reboot.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\covid-IT\HomepageLogged\css\bootstrap.css", "CSS", 0, 0, 9016, 0, 0, 0, 0, 7, 1201, 10224
"c:\xampp\htdocs\covid-IT\HomepageLogged\css\bootstrap.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\covid-IT\HomepageLogged\grafico.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 0, 7, 103
"c:\xampp\htdocs\covid-IT\HomepageLogged\home.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 0, 17, 152
"c:\xampp\htdocs\covid-IT\HomepageLogged\homepage.php", "PHP", 0, 0, 0, 170, 0, 0, 0, 0, 6, 176
"c:\xampp\htdocs\covid-IT\HomepageLogged\js\bootstrap.bundle.js", "JavaScript", 0, 4586, 0, 0, 0, 0, 0, 1375, 1174, 7135
"c:\xampp\htdocs\covid-IT\HomepageLogged\js\bootstrap.bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\covid-IT\HomepageLogged\js\bootstrap.js", "JavaScript", 0, 3347, 0, 0, 0, 0, 0, 325, 850, 4522
"c:\xampp\htdocs\covid-IT\HomepageLogged\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\covid-IT\HomepageLogged\sketch.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 24, 85
"c:\xampp\htdocs\covid-IT\HomepageLogged\stile.css", "CSS", 0, 0, 264, 0, 0, 0, 0, 11, 70, 345
"c:\xampp\htdocs\covid-IT\Homepage\assets\brand\bootstrap-outline.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\xampp\htdocs\covid-IT\Homepage\assets\brand\bootstrap-punchout.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\xampp\htdocs\covid-IT\Homepage\assets\brand\bootstrap-solid.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\xampp\htdocs\covid-IT\Homepage\assets\css\docs.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\covid-IT\Homepage\assets\img\favicons\browserconfig.xml", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\xampp\htdocs\covid-IT\Homepage\assets\img\favicons\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 22, 0, 1, 23
"c:\xampp\htdocs\covid-IT\Homepage\assets\img\favicons\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\covid-IT\Homepage\assets\js\docs.min.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 18, 0, 22
"c:\xampp\htdocs\covid-IT\Homepage\assets\js\src\application.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 23, 20, 113
"c:\xampp\htdocs\covid-IT\Homepage\assets\js\src\ie-emulation-modes-warning.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 8, 6, 48
"c:\xampp\htdocs\covid-IT\Homepage\assets\js\src\search.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 8, 12, 60
"c:\xampp\htdocs\covid-IT\Homepage\assets\js\vendor\anchor.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 8, 0, 9
"c:\xampp\htdocs\covid-IT\Homepage\assets\js\vendor\bs-custom-file-input.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 1, 8
"c:\xampp\htdocs\covid-IT\Homepage\assets\js\vendor\clipboard.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\covid-IT\Homepage\assets\js\vendor\jquery.slim.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_ads.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 4, 7, 40
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_algolia.scss", "SCSS", 0, 0, 0, 0, 0, 124, 0, 8, 24, 156
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_anchor.scss", "SCSS", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_brand.scss", "SCSS", 0, 0, 0, 0, 0, 64, 0, 10, 15, 89
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_browser-bugs.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 3, 2, 13
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 28, 0, 3, 7, 38
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_callouts.scss", "SCSS", 0, 0, 0, 0, 0, 28, 0, 4, 9, 41
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_clipboard-js.scss", "SCSS", 0, 0, 0, 0, 0, 28, 0, 3, 6, 37
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_colors.scss", "SCSS", 0, 0, 0, 0, 0, 12, 0, 3, 3, 18
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_component-examples.scss", "SCSS", 0, 0, 0, 0, 0, 299, 0, 24, 61, 384
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_content.scss", "SCSS", 0, 0, 0, 0, 0, 91, 0, 10, 24, 125
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_footer.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 3, 9, 41
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_masthead.scss", "SCSS", 0, 0, 0, 0, 0, 40, 0, 2, 11, 53
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_nav.scss", "SCSS", 0, 0, 0, 0, 0, 57, 0, 3, 12, 72
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_placeholder-img.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 4, 4, 16
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 124, 0, 10, 29, 163
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_skippy.scss", "SCSS", 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_syntax.scss", "SCSS", 0, 0, 0, 0, 0, 73, 0, 1, 5, 79
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 5, 3, 18
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\docs.scss", "SCSS", 0, 0, 0, 0, 0, 22, 0, 26, 5, 53
"c:\xampp\htdocs\covid-IT\Homepage\colori.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\xampp\htdocs\covid-IT\Homepage\css\bootstrap-grid.css", "CSS", 0, 0, 3681, 0, 0, 0, 0, 7, 211, 3899
"c:\xampp\htdocs\covid-IT\Homepage\css\bootstrap-grid.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\covid-IT\Homepage\css\bootstrap-reboot.css", "CSS", 0, 0, 264, 0, 0, 0, 0, 8, 55, 327
"c:\xampp\htdocs\covid-IT\Homepage\css\bootstrap-reboot.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\covid-IT\Homepage\css\bootstrap.css", "CSS", 0, 0, 9016, 0, 0, 0, 0, 7, 1201, 10224
"c:\xampp\htdocs\covid-IT\Homepage\css\bootstrap.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\covid-IT\Homepage\grafico.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 0, 7, 103
"c:\xampp\htdocs\covid-IT\Homepage\home.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 16, 102
"c:\xampp\htdocs\covid-IT\Homepage\homepage.html", "HTML", 119, 0, 0, 0, 0, 0, 0, 6, 4, 129
"c:\xampp\htdocs\covid-IT\Homepage\js\bootstrap.bundle.js", "JavaScript", 0, 4586, 0, 0, 0, 0, 0, 1375, 1174, 7135
"c:\xampp\htdocs\covid-IT\Homepage\js\bootstrap.bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\covid-IT\Homepage\js\bootstrap.js", "JavaScript", 0, 3347, 0, 0, 0, 0, 0, 325, 850, 4522
"c:\xampp\htdocs\covid-IT\Homepage\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\covid-IT\Homepage\sketch.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 21, 75
"c:\xampp\htdocs\covid-IT\Homepage\stile.css", "CSS", 0, 0, 268, 0, 0, 0, 0, 11, 71, 350
"Total", "-", 119, 16728, 26462, 170, 60, 2196, 44, 3956, 7807, 57542